student_id,sex,age,traveltime,studytime,failures,Medu,Fedu,paid,higher,internet,romantic,freetime,promoted
70,M,16,2,4,0,3,1,yes,yes,yes,no,3,1
71,M,15,1,4,0,4,2,no,yes,yes,no,3,1
72,F,15,1,2,2,1,1,no,yes,yes,yes,3,0
73,M,16,1,1,0,3,1,no,yes,no,no,3,1
74,F,16,1,2,0,3,3,yes,yes,yes,no,3,1
75,M,15,1,2,0,4,3,yes,yes,yes,no,3,1
76,M,15,2,4,0,4,0,no,yes,yes,no,4,1
77,F,16,1,4,0,2,2,yes,yes,yes,yes,2,1
78,M,17,2,1,3,2,1,no,no,yes,no,5,1
79,F,16,1,2,0,3,4,no,yes,yes,no,4,0
80,M,15,1,1,0,2,3,yes,yes,yes,yes,2,1
81,M,15,1,3,0,2,3,yes,yes,yes,no,3,1
82,F,15,1,2,0,3,2,yes,yes,yes,no,4,0
83,M,15,2,2,0,2,2,yes,yes,yes,no,3,1
84,F,15,1,2,0,1,1,no,yes,yes,no,3,1
85,F,15,2,2,2,4,4,yes,yes,yes,yes,4,0
86,F,16,1,2,0,2,2,no,yes,no,no,3,0
87,F,15,1,3,0,4,2,no,yes,yes,no,3,1
88,M,16,2,2,1,2,2,yes,yes,yes,no,4,1
89,M,16,1,2,0,4,4,no,yes,no,no,1,0
90,F,16,1,3,0,3,3,yes,yes,yes,yes,3,0
91,F,15,1,1,0,4,3,yes,yes,yes,no,5,1
92,F,16,1,2,0,3,1,no,yes,no,no,3,0
93,F,16,2,2,0,4,2,yes,yes,yes,no,3,1
94,M,15,1,4,0,2,2,no,yes,yes,no,3,1
95,F,15,2,4,1,1,1,yes,yes,yes,no,1,1
96,M,16,2,1,0,4,3,no,yes,yes,no,3,1
97,F,16,1,2,0,2,1,yes,yes,no,yes,3,1
98,F,16,1,1,0,4,4,no,yes,yes,no,3,1
99,F,16,1,3,0,4,3,yes,yes,yes,no,3,0
100,M,16,1,1,0,4,4,yes,yes,yes,no,5,0
101,M,16,1,3,0,4,4,no,yes,yes,yes,4,1
102,M,15,1,1,0,4,4,no,yes,yes,no,3,1
103,F,15,2,2,0,3,2,yes,yes,yes,no,3,0
104,M,15,1,2,0,3,4,yes,yes,yes,no,4,1
105,F,15,1,4,0,3,3,no,yes,no,no,3,1
106,F,15,1,4,0,2,2,yes,yes,yes,no,1,0
107,M,16,1,3,0,3,3,no,yes,yes,no,3,1
108,M,15,4,4,0,4,4,yes,yes,yes,yes,3,1
109,F,16,1,3,0,4,4,yes,yes,yes,yes,4,1
110,M,15,1,1,0,4,4,no,yes,yes,no,5,1
111,F,16,1,3,1,3,3,no,yes,yes,no,1,1
112,F,16,1,2,1,2,2,no,yes,yes,no,1,1
113,M,15,1,1,0,4,2,no,yes,yes,no,5,1
114,M,15,1,2,0,2,1,no,yes,yes,yes,4,0
115,M,16,1,2,0,4,4,no,yes,yes,no,4,1
116,M,15,2,2,0,4,4,no,yes,no,no,4,1
117,M,16,2,1,0,3,3,no,yes,yes,no,4,1
118,M,17,3,2,1,1,3,no,yes,yes,no,2,0
119,M,15,1,1,0,3,4,no,yes,yes,no,4,1
120,F,15,1,2,0,1,2,no,yes,yes,no,2,1
121,M,15,1,4,0,2,2,yes,yes,yes,no,5,1
122,F,16,2,2,0,2,4,yes,yes,yes,yes,2,1
123,M,16,1,1,0,4,4,no,yes,yes,no,4,1
124,F,16,1,2,0,2,2,yes,yes,yes,yes,4,0
125,M,15,1,1,0,3,4,no,yes,yes,no,5,1
126,F,15,1,2,0,3,4,no,yes,yes,yes,3,1
127,F,19,1,2,3,0,1,no,no,no,no,4,0
128,M,18,1,1,2,2,2,no,yes,yes,no,3,0
129,M,16,1,1,0,4,4,yes,yes,yes,no,5,1
130,F,15,2,3,2,3,4,no,yes,yes,yes,2,0
131,F,15,3,1,0,1,1,no,yes,yes,yes,3,0
132,F,17,1,1,0,2,2,no,yes,yes,yes,4,1
133,F,16,1,1,0,3,4,no,yes,yes,no,2,1
134,M,15,4,2,0,3,4,no,yes,no,yes,3,0
135,F,15,1,3,0,4,4,no,yes,yes,yes,3,0
136,M,17,3,2,0,3,4,no,yes,no,no,4,0
137,F,16,2,1,2,3,3,no,yes,yes,yes,3,0
138,M,16,1,2,1,1,1,no,yes,no,yes,4,1
139,F,15,2,1,0,4,4,no,yes,yes,no,3,1
140,M,15,2,4,0,4,3,no,yes,yes,no,2,0
141,M,16,2,1,2,2,2,no,yes,yes,no,3,0
142,F,15,1,3,0,4,4,yes,yes,yes,no,2,1
143,F,16,1,1,0,1,1,no,yes,yes,no,4,1
144,M,17,1,1,3,2,1,no,yes,yes,no,4,0
145,F,15,1,2,0,1,1,yes,yes,yes,no,4,1
146,F,15,1,2,3,3,2,no,yes,yes,no,3,0
147,F,15,1,2,0,1,2,yes,yes,yes,no,3,1
148,M,16,1,1,0,4,4,no,no,yes,yes,3,0
149,M,15,4,1,3,2,1,no,yes,yes,no,5,1
150,M,18,1,1,3,1,1,no,no,yes,yes,3,0
151,M,16,1,1,1,2,1,no,yes,no,yes,4,1
152,F,15,2,3,2,3,3,yes,yes,yes,yes,2,1
153,M,19,1,1,3,3,2,no,no,yes,yes,5,0
154,F,17,1,1,0,4,4,no,yes,no,yes,2,1
155,M,15,1,2,0,2,3,yes,yes,no,no,4,0
156,M,17,1,1,0,1,2,no,yes,no,no,2,1
157,F,18,3,1,3,1,1,no,yes,no,no,2,1
158,M,16,3,1,0,2,2,no,yes,no,no,2,1
159,M,16,1,2,1,3,3,yes,yes,yes,yes,5,1
160,M,17,2,1,2,2,1,no,no,yes,yes,3,0
161,M,15,2,2,2,3,2,no,yes,yes,yes,4,0
162,M,16,2,1,1,1,2,no,yes,no,no,4,0
163,M,17,1,1,0,1,3,no,no,yes,no,3,1
164,M,17,4,2,3,1,1,no,no,no,yes,3,0
165,M,16,2,1,1,3,2,no,no,no,no,5,1
166,M,16,1,2,0,2,2,no,no,yes,no,3,1
167,F,16,1,2,0,4,2,yes,yes,yes,yes,2,1
168,F,16,1,2,0,2,2,yes,yes,yes,no,1,0
169,F,16,1,2,0,4,4,yes,yes,yes,yes,4,1
170,M,16,3,1,2,3,4,no,yes,yes,no,4,0
171,M,16,2,2,0,1,0,yes,yes,yes,yes,3,1
172,M,17,1,2,0,4,4,yes,yes,yes,no,4,1
173,F,16,1,2,3,1,3,no,yes,yes,yes,3,0
174,F,16,2,2,0,3,3,yes,yes,yes,no,4,0
175,M,17,2,2,0,4,3,yes,yes,yes,no,4,0
176,F,16,2,2,0,2,2,yes,yes,yes,no,4,1
177,M,17,1,2,0,3,3,no,yes,yes,no,3,0
178,M,16,1,1,0,4,2,no,yes,yes,yes,3,0
179,M,17,1,2,0,4,3,no,yes,yes,yes,2,1
180,M,16,1,2,0,4,3,yes,yes,yes,no,4,0
181,M,16,1,2,0,3,3,yes,yes,yes,yes,2,1
182,F,17,1,2,0,2,4,no,yes,no,no,4,1
183,F,17,1,2,0,3,3,no,yes,yes,yes,3,0
184,F,16,1,2,0,3,2,yes,yes,yes,no,2,1
185,M,17,1,2,0,3,3,no,yes,yes,yes,3,1
186,M,16,1,1,0,1,2,yes,yes,yes,yes,3,1
187,M,16,1,2,0,2,1,yes,yes,yes,yes,2,1
188,F,17,1,2,0,3,3,no,yes,yes,yes,3,0
189,M,17,1,2,0,1,2,no,yes,no,no,1,1
190,F,16,1,2,0,2,3,no,yes,yes,no,3,1
191,F,17,1,2,0,1,1,no,yes,yes,no,3,0
192,M,17,2,2,0,1,2,yes,yes,yes,no,4,0
193,M,16,1,1,0,3,3,no,yes,yes,no,3,1
194,M,16,2,1,0,2,3,no,yes,yes,no,3,1
195,F,17,1,2,0,2,4,no,yes,yes,yes,3,1
196,M,17,1,1,0,4,4,no,yes,yes,no,2,1
197,M,16,3,1,0,3,3,yes,yes,yes,no,3,1
198,F,17,2,1,1,4,4,no,yes,yes,no,2,1
199,F,16,1,2,0,4,4,yes,yes,yes,no,5,1
200,F,16,1,2,0,4,3,no,yes,yes,no,3,1
201,F,16,1,2,0,2,3,yes,yes,no,no,4,1
202,F,17,1,2,0,1,1,yes,yes,no,no,4,1
203,F,17,1,1,0,2,2,no,yes,yes,no,3,0
204,F,16,2,4,0,2,2,yes,yes,yes,no,3,1
205,F,17,1,3,1,3,4,yes,yes,yes,yes,4,0
206,F,16,1,2,3,3,1,yes,yes,yes,no,3,0
207,F,16,1,2,0,4,3,yes,yes,yes,yes,3,1
208,F,16,2,1,0,1,1,yes,yes,no,no,3,1
209,F,17,2,3,0,4,3,yes,yes,yes,yes,4,0
210,F,19,1,4,0,3,3,yes,yes,yes,no,3,0
211,M,17,1,2,0,4,4,yes,yes,yes,yes,3,1
212,F,16,1,2,0,2,2,yes,yes,yes,no,3,1
213,M,18,1,2,1,2,2,yes,yes,yes,no,4,0
214,F,17,1,1,0,4,4,yes,yes,no,no,2,1
215,F,17,2,2,0,3,2,yes,yes,yes,no,4,1
216,F,17,1,2,2,4,3,yes,yes,yes,yes,4,0
217,M,18,1,2,1,3,3,yes,yes,yes,no,2,0
218,F,17,2,1,0,2,3,yes,yes,no,no,3,0
219,F,17,1,3,0,2,2,yes,yes,yes,no,3,1
220,F,17,2,2,0,2,1,no,yes,yes,no,2,0
221,F,17,1,3,1,1,1,no,yes,no,yes,3,0
222,F,16,1,2,0,2,3,no,yes,yes,no,3,1
223,M,18,2,2,0,2,2,yes,yes,yes,no,3,1
224,F,16,1,3,0,4,4,no,yes,yes,no,3,1
225,F,18,1,2,1,3,1,no,yes,yes,yes,3,0
226,F,17,1,2,0,3,2,no,yes,yes,no,3,1
227,M,17,1,2,0,2,3,yes,yes,yes,no,3,1
228,M,18,4,2,0,2,1,yes,yes,yes,yes,3,0
229,F,17,2,3,0,2,1,no,yes,yes,yes,2,1
230,F,17,1,2,0,4,3,no,yes,yes,yes,2,1
231,M,17,2,2,0,2,2,yes,yes,yes,no,5,1
232,M,17,1,2,0,4,4,no,yes,yes,yes,5,0
233,M,16,1,2,0,4,4,yes,yes,yes,no,2,1
234,M,16,2,2,0,1,1,yes,yes,yes,no,4,0
235,M,16,2,3,0,3,2,no,yes,yes,yes,3,1
236,M,17,1,2,0,2,2,yes,yes,yes,yes,4,1
237,F,16,1,1,0,2,1,no,yes,yes,yes,5,1
238,F,17,3,2,0,2,1,no,yes,no,no,1,1
239,M,18,1,2,1,2,2,no,no,yes,no,5,0
240,M,17,2,2,0,4,3,no,yes,yes,yes,5,1
241,M,17,2,2,0,4,4,yes,yes,yes,no,3,1
242,M,16,1,1,0,4,3,no,yes,yes,no,4,0
243,M,16,1,1,0,4,4,no,yes,yes,no,3,1
244,F,18,2,3,0,2,1,yes,yes,yes,yes,4,0
245,M,16,3,1,0,2,1,no,yes,yes,no,3,1
246,M,17,2,1,0,2,3,no,yes,yes,no,2,1
247,M,22,1,1,3,3,1,no,no,yes,yes,4,0
248,M,18,1,2,1,3,3,no,yes,yes,yes,3,0
249,M,16,1,1,0,0,2,yes,yes,yes,no,3,1
250,M,18,2,1,1,3,2,no,no,yes,no,4,0
251,M,16,3,2,0,3,3,no,yes,yes,no,3,1
252,M,18,1,1,1,2,1,no,no,yes,no,2,0
253,M,16,2,1,0,2,1,no,yes,no,no,3,0
254,M,17,1,1,0,2,1,no,yes,yes,no,4,1
255,M,17,2,1,1,1,1,no,yes,yes,no,4,0
256,F,17,1,4,0,4,2,yes,yes,yes,no,2,1
257,M,19,1,2,0,4,3,no,yes,yes,no,3,1
258,M,18,1,2,0,2,1,no,yes,yes,no,2,1
259,F,17,1,4,0,2,2,yes,yes,yes,yes,4,0
260,F,18,1,2,0,4,3,yes,yes,yes,yes,1,1
261,M,18,1,2,0,4,3,yes,yes,yes,no,3,0
262,M,18,1,3,0,3,2,no,yes,no,no,3,1
263,F,17,1,3,0,3,3,no,yes,no,no,2,0
264,F,18,1,3,0,2,2,yes,yes,yes,yes,3,0
265,M,18,2,2,0,3,4,yes,yes,yes,no,2,1
266,M,17,1,2,0,3,1,yes,yes,yes,yes,4,1
267,F,18,2,2,0,4,4,yes,yes,yes,no,3,1
268,M,18,1,2,0,4,2,yes,yes,yes,yes,4,1
269,F,18,2,2,0,2,1,no,no,yes,yes,3,0
270,F,19,1,2,2,3,3,yes,yes,yes,no,3,0
271,F,18,1,4,0,2,3,yes,yes,yes,yes,5,1
272,F,18,2,2,0,1,1,yes,yes,no,no,4,1
273,M,17,1,2,0,1,2,yes,yes,no,yes,5,1
274,F,17,2,2,0,2,4,yes,yes,yes,yes,3,1
275,F,17,2,2,0,2,2,yes,yes,yes,yes,4,1
276,F,18,2,2,0,3,2,no,no,yes,yes,1,0
277,M,18,2,1,0,4,4,yes,yes,yes,no,2,0
278,F,18,1,2,1,4,4,no,yes,yes,yes,4,0
279,M,18,2,1,0,4,3,yes,yes,yes,no,2,1
280,M,17,2,1,0,4,1,yes,yes,yes,yes,5,0
281,M,17,1,1,1,3,2,no,yes,yes,no,4,1
282,F,18,2,4,0,1,1,yes,yes,no,no,2,1
283,F,18,2,2,0,1,1,no,yes,yes,no,4,1
284,F,17,1,2,0,2,2,no,yes,yes,no,4,1
285,M,17,1,2,0,1,1,yes,yes,yes,no,3,1
286,F,18,1,3,0,2,2,yes,yes,yes,no,3,1
287,F,17,1,3,0,1,1,yes,yes,yes,no,3,1
288,M,18,1,3,0,2,1,yes,yes,yes,no,2,1
289,M,18,1,2,0,4,4,yes,yes,yes,no,4,1
290,M,18,1,2,0,4,2,yes,yes,yes,yes,3,1
291,F,17,1,3,0,4,3,yes,yes,yes,no,2,1
292,F,18,1,2,1,2,1,no,yes,yes,yes,4,1
293,F,17,2,4,0,3,1,yes,yes,no,no,1,1
294,M,18,2,3,0,3,2,yes,yes,yes,no,4,1
295,M,17,1,1,0,3,3,yes,yes,yes,no,4,1
296,F,19,2,2,0,4,4,yes,yes,yes,no,3,0
297,F,18,2,2,0,4,3,yes,yes,yes,yes,4,0
298,F,18,1,4,0,4,3,yes,yes,yes,no,3,1
299,M,18,1,1,0,4,4,yes,yes,yes,yes,4,1
300,F,18,1,2,0,4,4,no,yes,yes,yes,2,1
301,M,17,2,1,0,4,4,yes,yes,yes,no,1,1
302,F,17,2,3,0,4,2,yes,yes,yes,no,3,1
303,F,17,1,4,0,3,2,yes,yes,yes,no,2,1
304,M,19,1,2,1,3,3,no,yes,yes,yes,4,1
305,F,18,1,2,1,2,4,yes,yes,yes,no,4,1
306,M,20,1,1,0,3,2,no,yes,no,no,5,1
307,M,19,2,1,1,4,4,yes,yes,yes,yes,3,0
308,M,19,1,2,1,3,3,no,yes,no,yes,5,1
309,F,19,1,2,1,1,1,no,yes,yes,no,4,1
310,F,19,1,2,1,1,2,no,yes,no,yes,2,0
311,F,19,3,2,0,2,1,no,no,yes,yes,4,1
312,M,19,1,2,1,1,2,no,yes,yes,no,5,1
313,F,19,2,2,1,3,2,yes,yes,yes,yes,2,1
314,F,19,1,3,2,1,1,no,yes,yes,yes,1,1
315,F,19,1,3,1,2,3,no,yes,yes,yes,1,1
316,F,18,2,2,0,2,1,yes,yes,yes,no,3,0
317,F,18,1,3,0,4,3,yes,yes,yes,yes,3,0
318,F,17,1,3,0,3,4,yes,yes,yes,no,3,1
319,F,18,1,2,0,4,4,yes,yes,yes,no,4,1
320,F,17,1,2,0,4,3,yes,yes,yes,yes,2,1
321,F,17,1,2,0,2,2,no,yes,no,yes,2,0
322,F,17,1,3,0,2,2,yes,yes,yes,no,3,1
323,F,17,1,3,0,3,1,no,yes,yes,no,4,1
324,F,17,2,3,0,0,2,no,yes,yes,no,3,1
325,M,18,1,3,0,4,4,no,yes,yes,no,3,1
326,M,17,1,1,0,3,3,no,yes,yes,no,3,1
327,M,17,4,1,0,2,2,no,yes,yes,no,4,1
328,F,17,1,3,0,4,4,yes,yes,yes,no,4,0
329,F,17,2,3,0,4,4,yes,yes,yes,yes,3,1
330,M,18,1,4,0,2,2,no,yes,yes,no,5,0
331,F,17,1,3,0,2,4,no,yes,yes,yes,4,1
332,F,18,1,2,0,3,3,no,yes,yes,no,3,0
333,F,18,1,2,0,2,2,no,yes,yes,yes,3,0
334,F,18,2,4,0,2,2,no,yes,no,no,4,0
335,F,17,1,3,0,3,4,no,yes,yes,no,4,1
336,F,19,1,3,1,3,1,yes,yes,no,no,4,1
337,F,17,1,2,0,3,2,yes,yes,yes,yes,3,0
338,F,18,1,4,0,3,3,no,yes,yes,no,3,1
339,F,17,1,2,0,3,2,yes,yes,yes,no,3,1
340,F,19,1,3,1,2,1,yes,yes,yes,yes,3,1
341,M,18,1,2,1,4,4,no,yes,yes,no,3,0
342,M,18,1,2,0,3,4,no,yes,yes,yes,3,1
343,F,17,1,2,1,2,2,no,yes,yes,yes,3,0
344,F,18,1,3,0,2,3,no,yes,yes,no,3,1
345,F,18,1,3,0,3,2,no,yes,yes,yes,4,1
346,M,18,1,3,0,4,3,no,yes,yes,yes,3,1
347,M,18,1,3,0,4,3,yes,yes,yes,yes,4,0
348,F,17,1,3,0,4,3,yes,yes,yes,yes,4,1
349,M,18,2,1,1,3,2,no,yes,yes,no,5,1
350,M,19,3,2,3,1,1,no,yes,yes,no,4,0
351,M,17,2,2,0,3,3,yes,yes,yes,no,5,1
352,M,18,1,1,1,1,3,no,no,yes,yes,3,0
353,M,19,3,1,1,1,1,no,yes,yes,no,4,0
354,M,17,2,2,0,4,3,yes,yes,yes,yes,5,1
355,F,18,1,2,0,3,3,no,yes,no,yes,3,0
356,F,17,2,2,0,4,4,yes,yes,yes,no,3,1
357,F,17,2,2,0,3,2,no,yes,no,yes,2,1
358,M,18,2,1,0,1,1,no,yes,yes,yes,3,1
359,F,18,2,3,0,1,1,no,yes,yes,no,3,1
360,F,18,3,2,0,1,4,no,yes,no,yes,3,1
361,M,18,2,2,1,1,1,no,no,no,no,4,1
362,F,18,2,2,0,3,3,no,yes,yes,yes,3,1
363,F,17,1,2,0,4,4,yes,yes,yes,yes,3,1
364,F,17,2,2,0,1,2,no,yes,no,no,2,1
365,M,18,2,2,0,1,3,yes,yes,no,no,3,1
366,M,18,2,3,0,4,4,yes,yes,yes,yes,2,1
367,F,17,3,1,1,1,1,yes,yes,yes,yes,2,0
368,F,18,2,1,0,2,3,yes,yes,yes,yes,2,1
369,F,18,3,2,0,4,4,yes,yes,yes,yes,2,1
370,F,19,2,2,2,3,2,no,yes,no,yes,2,0
371,M,18,3,1,0,1,2,yes,no,yes,yes,3,1
372,F,17,1,3,0,2,2,no,yes,no,yes,4,1
373,F,17,1,1,0,1,2,no,yes,yes,no,5,0
374,F,18,2,3,0,4,4,no,yes,yes,no,4,1
375,F,18,4,3,0,1,1,no,yes,yes,no,3,1
376,F,20,2,3,2,4,2,yes,yes,yes,yes,4,1
377,F,18,1,2,0,4,4,yes,yes,yes,no,4,1
378,F,18,1,2,0,3,3,yes,yes,yes,yes,1,1
379,F,17,1,2,0,3,1,yes,yes,yes,no,5,1
380,M,18,1,2,0,4,4,yes,yes,yes,no,2,1
381,M,18,2,1,0,2,1,no,yes,yes,yes,4,0
382,M,17,2,2,0,2,3,no,yes,yes,no,4,1
383,M,19,2,1,1,1,1,no,yes,no,no,3,0
384,M,18,2,1,1,4,2,yes,yes,no,no,4,0
385,F,18,2,3,0,2,2,yes,yes,no,no,3,1
386,F,18,3,1,0,4,4,yes,yes,yes,yes,4,0
387,F,19,1,3,1,2,3,no,yes,yes,no,4,0
388,F,18,1,2,0,3,1,yes,yes,yes,no,3,0
389,F,18,2,2,1,1,1,no,yes,no,no,1,0
390,M,20,1,2,2,2,2,yes,yes,no,no,5,0
391,M,17,2,1,0,3,1,no,yes,yes,no,4,1
392,M,21,1,1,3,1,1,no,yes,no,no,5,0
393,M,18,3,1,0,3,2,no,yes,yes,no,4,1
394,M,19,1,1,0,1,1,no,yes,yes,no,2,0
